LocationType,Location,Single Age,TimeFrame,DataFormat,Data
State,Arkansas,<1,1995,Number,34739
State,Arizona,<1,1995,Number,71121
State,Alaska,<1,1995,Number,9588
State,Alabama,<1,1995,Number,58148
Nation,United States,<1,1995,Number,3791386
Nation,United States,<1,1996,Number,3744999
State,Alabama,<1,1996,Number,57371
State,Alaska,<1,1996,Number,9375
State,Arizona,<1,1996,Number,72421
State,Arkansas,<1,1996,Number,35236
State,California,<1,1996,Number,511446
State,Colorado,<1,1996,Number,54384
State,Connecticut,<1,1996,Number,43207
State,Delaware,<1,1996,Number,9802
City,District of Columbia,<1,1996,Number,6773
State,Florida,<1,1996,Number,182167
State,Georgia,<1,1996,Number,108569
State,Hawaii,<1,1996,Number,16557
State,Idaho,<1,1996,Number,18276
State,Illinois,<1,1996,Number,175637
State,Indiana,<1,1996,Number,81109
State,Iowa,<1,1996,Number,36189
State,Kansas,<1,1996,Number,35642
State,Kentucky,<1,1996,Number,51520
State,Louisiana,<1,1996,Number,62134
State,Maine,<1,1996,Number,13638
State,Maryland,<1,1996,Number,70360
State,Massachusetts,<1,1996,Number,79142
State,Michigan,<1,1996,Number,130616
State,Minnesota,<1,1996,Number,62550
State,Mississippi,<1,1996,Number,39189
State,Missouri,<1,1996,Number,71373
State,Montana,<1,1996,Number,10768
State,Nebraska,<1,1996,Number,22603
State,Nevada,<1,1996,Number,25456
State,New Hampshire,<1,1996,Number,14412
State,New Jersey,<1,1996,Number,110457
State,New Mexico,<1,1996,Number,26427
State,New York,<1,1996,Number,251360
State,North Carolina,<1,1996,Number,99850
State,North Dakota,<1,1996,Number,8166
State,Ohio,<1,1996,Number,149606
State,Oklahoma,<1,1996,Number,44665
State,Oregon,<1,1996,Number,42392
State,Pennsylvania,<1,1996,Number,143654
State,Rhode Island,<1,1996,Number,13059
State,South Carolina,<1,1996,Number,50052
State,South Dakota,<1,1996,Number,10003
State,Tennessee,<1,1996,Number,70737
State,Texas,<1,1996,Number,318459
State,Utah,<1,1996,Number,40589
State,Vermont,<1,1996,Number,6574
State,Virginia,<1,1996,Number,88640
State,Washington,<1,1996,Number,75376
State,West Virginia,<1,1996,Number,20355
State,Wisconsin,<1,1996,Number,60371
State,Wyoming,<1,1996,Number,6285
Territory,Puerto Rico,<1,1996,Number,N.A.
Territory,Puerto Rico,<1,1997,Number,N.A.
State,Wyoming,<1,1997,Number,6220
State,Wisconsin,<1,1997,Number,59799
State,West Virginia,<1,1997,Number,20154
State,Washington,<1,1997,Number,77119
State,Virginia,<1,1997,Number,89314
State,Vermont,<1,1997,Number,6432
State,Utah,<1,1997,Number,42484
State,Texas,<1,1997,Number,322252
State,Tennessee,<1,1997,Number,72035
State,South Dakota,<1,1997,Number,9962
State,South Carolina,<1,1997,Number,51166
State,Rhode Island,<1,1997,Number,12860
State,Pennsylvania,<1,1997,Number,142107
State,Oregon,<1,1997,Number,43285
State,Oklahoma,<1,1997,Number,46652
State,Ohio,<1,1997,Number,150296
State,North Dakota,<1,1997,Number,8117
State,North Carolina,<1,1997,Number,102983
State,New York,<1,1997,Number,245246
State,New Mexico,<1,1997,Number,26554
State,New Jersey,<1,1997,Number,109379
State,New Hampshire,<1,1997,Number,14358
State,Nevada,<1,1997,Number,26520
State,Nebraska,<1,1997,Number,22877
State,Montana,<1,1997,Number,10594
State,Missouri,<1,1997,Number,71962
State,Mississippi,<1,1997,Number,39980
State,Minnesota,<1,1997,Number,63430
State,Michigan,<1,1997,Number,130997
State,Massachusetts,<1,1997,Number,78507
State,Maryland,<1,1997,Number,70884
State,Maine,<1,1997,Number,13585
State,Louisiana,<1,1997,Number,62741
State,Kentucky,<1,1997,Number,52708
State,Kansas,<1,1997,Number,36563
State,Iowa,<1,1997,Number,36490
State,Indiana,<1,1997,Number,82411
State,Illinois,<1,1997,Number,174269
State,Idaho,<1,1997,Number,18559
State,Hawaii,<1,1997,Number,15930
State,Georgia,<1,1997,Number,111885
State,Florida,<1,1997,Number,184343
City,District of Columbia,<1,1997,Number,6547
State,Delaware,<1,1997,Number,9916
State,Connecticut,<1,1997,Number,42635
State,Colorado,<1,1997,Number,55944
State,California,<1,1997,Number,496336
State,Arkansas,<1,1997,Number,35315
State,Arizona,<1,1997,Number,72695
State,Alaska,<1,1997,Number,9385
State,Alabama,<1,1997,Number,58359
Nation,United States,<1,1997,Number,3751141
Nation,United States,<1,1998,Number,3762809
State,Alabama,<1,1998,Number,58377
State,Alaska,<1,1998,Number,9355
State,Arizona,<1,1998,Number,75335
State,Arkansas,<1,1998,Number,35590
State,California,<1,1998,Number,487974
State,Colorado,<1,1998,Number,58026
State,Connecticut,<1,1998,Number,42557
State,Delaware,<1,1998,Number,10072
City,District of Columbia,<1,1998,Number,6286
State,Florida,<1,1998,Number,185678
State,Georgia,<1,1998,Number,115593
State,Hawaii,<1,1998,Number,15607
State,Idaho,<1,1998,Number,19039
State,Illinois,<1,1998,Number,172524
State,Indiana,<1,1998,Number,82977
State,Iowa,<1,1998,Number,36565
State,Kansas,<1,1998,Number,37293
State,Kentucky,<1,1998,Number,52552
State,Louisiana,<1,1998,Number,63695
State,Maine,<1,1998,Number,13485
State,Maryland,<1,1998,Number,70542
State,Massachusetts,<1,1998,Number,78228
State,Michigan,<1,1998,Number,130002
State,Minnesota,<1,1998,Number,63511
State,Mississippi,<1,1998,Number,40682
State,Missouri,<1,1998,Number,72373
State,Montana,<1,1998,Number,10549
State,Nebraska,<1,1998,Number,22886
State,Nevada,<1,1998,Number,27794
State,New Hampshire,<1,1998,Number,14255
State,New Jersey,<1,1998,Number,108965
State,New Mexico,<1,1998,Number,26432
State,New York,<1,1998,Number,241756
State,North Carolina,<1,1998,Number,106251
State,North Dakota,<1,1998,Number,7845
