LocationType,Location,Age group,TimeFrame,DataFormat,Data
State,Alaska,3,2010,Number,1304
State,Alaska,Total,2015,Number,3819
State,Alaska,3,2015,Number,1248
State,Alaska,<3,2015,Number,785
State,Alaska,4,2015,Number,1753
State,Alaska,5 years and older,2015,Number,33
State,Alaska,Total,2011,Number,4045
State,Alaska,5 years and older,2011,Number,23
State,Alaska,4,2011,Number,1787
State,Alaska,<3,2011,Number,816
State,Alaska,3,2011,Number,1419
State,Alaska,Total,1988,Number,1507
State,Alaska,Total,2012,Number,4146
State,Alaska,<3,2012,Number,840
State,Alaska,3,2012,Number,1385
State,Alaska,4,2012,Number,1894
State,Alaska,5 years and older,2012,Number,27
State,Alaska,5 years and older,2014,Number,19
State,Alaska,4,2014,Number,1765
State,Alaska,3,2014,Number,1236
State,Alaska,<3,2014,Number,811
State,Alaska,Total,2014,Number,3831
State,Alaska,<3,2017,Number,1018
State,Alaska,3,2017,Number,1197
State,Alaska,4,2017,Number,1670
State,Alaska,5 years and older,2017,Number,23
State,Alaska,Total,2017,Number,3908
State,Alaska,Total,2016,Number,3779
State,Alaska,<3,2016,Number,881
State,Alaska,3,2016,Number,1267
State,Alaska,4,2016,Number,1617
State,Alaska,5 years and older,2016,Number,14
State,Alaska,<3,2019,Number,1195
State,Alaska,3,2019,Number,1210
State,Alaska,4,2019,Number,1540
State,Alaska,5 years and older,2019,Number,4
State,Alaska,Total,2019,Number,3949
State,Alaska,<3,2021,Number,855
State,Alaska,3,2021,Number,725
State,Alaska,4,2021,Number,1088
State,Alaska,5 years and older,2021,Number,22
State,Alaska,Total,2021,Number,2690
State,Arizona,<3,2021,Number,4058
State,Arizona,3,2021,Number,3838
State,Arizona,4,2021,Number,6267
State,Arizona,5 years and older,2021,Number,171
State,Arizona,Total,2021,Number,14334
State,Arizona,<3,2019,Number,5490
State,Arizona,3,2019,Number,6567
State,Arizona,4,2019,Number,9464
State,Arizona,5 years and older,2019,Number,142
State,Arizona,Total,2019,Number,21663
State,Arizona,4,2016,Number,11595
State,Arizona,5 years and older,2016,Number,125
State,Arizona,3,2016,Number,6003
State,Arizona,<3,2016,Number,4873
State,Arizona,<3,2017,Number,4845
State,Arizona,3,2017,Number,5373
State,Arizona,4,2017,Number,9900
State,Arizona,5 years and older,2017,Number,1653
State,Arizona,Total,2017,Number,21771
State,Arizona,Total,2016,Number,22596
State,Arizona,3,2014,Number,5484
State,Arizona,5 years and older,2014,Number,339
State,Arizona,4,2014,Number,11570
State,Arizona,Total,2014,Number,20639
State,Arizona,4,2012,Number,12407
State,Arizona,5 years and older,2012,Number,429
State,Arizona,3,2012,Number,5784
State,Arizona,<3,2012,Number,3309
State,Arizona,Total,2012,Number,21929
State,Arizona,<3,2014,Number,3246
State,Arizona,Total,2011,Number,22725
State,Arizona,<3,2011,Number,3250
State,Arizona,3,2011,Number,5773
State,Arizona,5 years and older,2011,Number,939
State,Arizona,4,2011,Number,12763
State,Arizona,4,2015,Number,11436
State,Arizona,5 years and older,2015,Number,107
State,Arizona,3,2015,Number,6562
State,Arizona,<3,2015,Number,3893
State,Arizona,Total,2015,Number,21998
State,Arizona,Total,2010,Number,22362
State,Arizona,<3,2010,Number,2978
State,Arizona,3,2010,Number,5577
State,Arizona,5 years and older,2010,Number,741
State,Arizona,4,2010,Number,13066
State,Arizona,4,1988,Number,6678
State,Arizona,5 years and older,1988,Number,1549
State,Arizona,3,1988,Number,1931
State,Arizona,<3,1988,Number,25
State,Arizona,Total,1988,Number,10183
State,Arizona,Total,2009,Number,21269
State,Arizona,<3,2009,Number,1951
State,Arizona,3,2009,Number,5755
State,Arizona,5 years and older,2009,Number,1400
State,Arizona,4,2009,Number,12163
State,Arizona,<3,2018,Number,3524
State,Arizona,3,2018,Number,5747
State,Arizona,4,2018,Number,9548
State,Arizona,5 years and older,2018,Number,801
State,Arizona,Total,2018,Number,19620
State,Arizona,Total,2008,Number,21923
State,Arizona,5 years and older,2008,Number,796
State,Arizona,4,2008,Number,12818
State,Arizona,3,2008,Number,6195
State,Arizona,<3,2008,Number,2114
State,Arizona,<3,2013,Number,3526
State,Arizona,3,2013,Number,6092
State,Arizona,4,2013,Number,12345
State,Arizona,5 years and older,2013,Number,474
State,Arizona,Total,2013,Number,22437
State,Arizona,Total,2007,Number,21476
State,Arizona,5 years and older,2007,Number,1477
State,Arizona,4,2007,Number,12354
State,Arizona,3,2007,Number,5659
State,Arizona,<3,2007,Number,1986
State,Arizona,<3,1989,Number,8
State,Arizona,3,1989,Number,2098
State,Arizona,4,1989,Number,7268
State,Arizona,5 years and older,1989,Number,860
State,Arizona,Total,1989,Number,10234
State,Arizona,Total,2005,Number,22935
State,Arizona,5 years and older,2005,Number,1920
State,Arizona,4,2005,Number,13337
State,Arizona,<3,2005,Number,2056
State,Arizona,3,2005,Number,5622
State,Arizona,3,2006,Number,6286
State,Arizona,<3,2006,Number,2041
State,Arizona,4,2006,Number,13663
State,Arizona,5 years and older,2006,Number,1265
State,Arizona,Total,2006,Number,23255
State,Arizona,Total,2003,Number,22336
State,Arizona,5 years and older,2003,Number,1508
State,Arizona,4,2003,Number,12750
State,Arizona,<3,2003,Number,1619
State,Arizona,3,2003,Number,6459
State,Arizona,3,2004,Number,6448
State,Arizona,<3,2004,Number,1851
State,Arizona,4,2004,Number,13297
State,Arizona,5 years and older,2004,Number,1105
State,Arizona,Total,2004,Number,22701
State,Arizona,Total,2001,Number,21875
State,Arizona,5 years and older,2001,Number,1454
State,Arizona,3,2001,Number,5995
State,Arizona,4,2001,Number,12171
State,Arizona,<3,2001,Number,2255
State,Arizona,<3,2002,Number,1087
State,Arizona,4,2002,Number,12777
State,Arizona,3,2002,Number,6909
State,Arizona,5 years and older,2002,Number,700
State,Arizona,Total,2002,Number,21473
State,Arizona,Total,1999,Number,19177
State,Arizona,5 years and older,1999,Number,1508
State,Arizona,3,1999,Number,5241
State,Arizona,4,1999,Number,11974
State,Arizona,<3,1999,Number,454
State,Arizona,<3,2000,Number,651
State,Arizona,4,2000,Number,12146
