LocationType,Location,Age group,TimeFrame,DataFormat,Data
State,Indiana,less than 13,2011,Number,285000
State,Indiana,less than 18,2011,Number,376000
State,Indiana,less than 6,2015,Number,138000
State,Indiana,less than 13,2015,Number,307000
State,Indiana,less than 18,2015,Number,414000
State,Indiana,less than 6,2010,Number,142000
State,Indiana,less than 13,2010,Number,307000
State,Indiana,less than 18,2010,Number,402000
State,Indiana,less than 13,2009,Number,284000
State,Indiana,less than 18,2009,Number,370000
State,Indiana,less than 6,2009,Number,138000
State,Indiana,less than 6,2018,Number,136000
State,Indiana,less than 13,2018,Number,300000
State,Indiana,less than 18,2018,Number,394000
State,Indiana,less than 6,2013,Number,152000
State,Indiana,less than 13,2013,Number,331000
State,Indiana,less than 18,2013,Number,431000
State,Indiana,less than 6,2008,Number,137000
State,Indiana,less than 13,2008,Number,279000
State,Indiana,less than 18,2008,Number,360000
State,Iowa,less than 6,2008,Number,53000
State,Iowa,less than 13,2008,Number,115000
State,Iowa,less than 18,2008,Number,153000
State,Iowa,less than 6,2013,Number,64000
State,Iowa,less than 13,2013,Number,137000
State,Iowa,less than 18,2013,Number,173000
State,Iowa,less than 6,2018,Number,56000
State,Iowa,less than 13,2018,Number,122000
State,Iowa,less than 18,2018,Number,163000
State,Iowa,less than 13,2009,Number,130000
State,Iowa,less than 18,2009,Number,173000
State,Iowa,less than 6,2009,Number,60000
State,Iowa,less than 6,2010,Number,60000
State,Iowa,less than 13,2010,Number,131000
State,Iowa,less than 18,2010,Number,169000
State,Iowa,less than 6,2015,Number,60000
State,Iowa,less than 13,2015,Number,134000
State,Iowa,less than 18,2015,Number,175000
State,Iowa,less than 6,2011,Number,64000
State,Iowa,less than 13,2011,Number,135000
State,Iowa,less than 18,2011,Number,177000
State,Iowa,less than 6,2012,Number,58000
State,Iowa,less than 13,2012,Number,129000
State,Iowa,less than 18,2012,Number,167000
State,Iowa,less than 13,2014,Number,131000
State,Iowa,less than 18,2014,Number,175000
State,Iowa,less than 6,2014,Number,58000
State,Iowa,less than 6,2016,Number,56000
State,Iowa,less than 13,2016,Number,121000
State,Iowa,less than 18,2016,Number,155000
State,Iowa,less than 13,2017,Number,132000
State,Iowa,less than 18,2017,Number,168000
State,Iowa,less than 6,2017,Number,62000
State,Iowa,less than 6,2021,Number,51000
State,Iowa,less than 13,2021,Number,110000
State,Iowa,less than 18,2021,Number,149000
State,Iowa,less than 6,2019,Number,58000
State,Iowa,less than 13,2019,Number,127000
State,Iowa,less than 18,2019,Number,168000
State,Kansas,less than 6,2019,Number,56000
State,Kansas,less than 13,2019,Number,126000
State,Kansas,less than 18,2019,Number,168000
State,Kansas,less than 6,2021,Number,52000
State,Kansas,less than 13,2021,Number,119000
State,Kansas,less than 18,2021,Number,154000
State,Kansas,less than 13,2017,Number,150000
State,Kansas,less than 18,2017,Number,189000
State,Kansas,less than 6,2017,Number,70000
State,Kansas,less than 18,2016,Number,193000
State,Kansas,less than 6,2016,Number,70000
State,Kansas,less than 13,2016,Number,153000
State,Kansas,less than 13,2014,Number,147000
State,Kansas,less than 18,2014,Number,187000
State,Kansas,less than 6,2014,Number,72000
State,Kansas,less than 6,2012,Number,79000
State,Kansas,less than 13,2012,Number,161000
State,Kansas,less than 18,2012,Number,207000
State,Kansas,less than 6,2011,Number,72000
State,Kansas,less than 13,2011,Number,151000
State,Kansas,less than 18,2011,Number,194000
State,Kansas,less than 6,2015,Number,63000
State,Kansas,less than 13,2015,Number,142000
State,Kansas,less than 18,2015,Number,189000
State,Kansas,less than 6,2010,Number,71000
State,Kansas,less than 13,2010,Number,148000
State,Kansas,less than 18,2010,Number,188000
State,Kansas,less than 13,2009,Number,143000
State,Kansas,less than 18,2009,Number,182000
State,Kansas,less than 6,2009,Number,69000
State,Kansas,less than 6,2018,Number,63000
State,Kansas,less than 13,2018,Number,134000
